Site,Parameter,Date (LST),Year,Month,Day,Hour,Value
Beijing,PM2.5,2011/1/1 23:00,2011,1,1,23,36
Beijing,PM2.5,2011/1/2 0:00,2011,1,2,0,31
Beijing,PM2.5,2011/1/2 1:00,2011,1,2,1,20
Beijing,PM2.5,2011/1/2 2:00,2011,1,2,2,19
Beijing,PM2.5,2011/1/2 3:00,2011,1,2,3,18
Beijing,PM2.5,2011/1/2 4:00,2011,1,2,4,17
Beijing,PM2.5,2011/1/2 5:00,2011,1,2,5,14
Beijing,PM2.5,2011/1/2 6:00,2011,1,2,6,14
Beijing,PM2.5,2011/1/2 7:00,2011,1,2,7,22
Beijing,PM2.5,2011/1/2 8:00,2011,1,2,8,22
Beijing,PM2.5,2011/1/2 9:00,2011,1,2,9,25
Beijing,PM2.5,2011/1/2 10:00,2011,1,2,10,24
Beijing,PM2.5,2011/1/2 11:00,2011,1,2,11,31
Beijing,PM2.5,2011/1/2 12:00,2011,1,2,12,37
Beijing,PM2.5,2011/1/2 13:00,2011,1,2,13,35
Beijing,PM2.5,2011/1/2 14:00,2011,1,2,14,32
Beijing,PM2.5,2011/1/2 15:00,2011,1,2,15,37
Beijing,PM2.5,2011/1/2 16:00,2011,1,2,16,40
Beijing,PM2.5,2011/1/2 17:00,2011,1,2,17,52
Beijing,PM2.5,2011/1/2 18:00,2011,1,2,18,63
Beijing,PM2.5,2011/1/2 19:00,2011,1,2,19,72
Beijing,PM2.5,2011/1/2 20:00,2011,1,2,20,76
Beijing,PM2.5,2011/1/2 21:00,2011,1,2,21,76
Beijing,PM2.5,2011/1/2 22:00,2011,1,2,22,67
Beijing,PM2.5,2011/1/2 23:00,2011,1,2,23,65
Beijing,PM2.5,2011/1/3 0:00,2011,1,3,0,78
Beijing,PM2.5,2011/1/3 1:00,2011,1,3,1,85
Beijing,PM2.5,2011/1/3 2:00,2011,1,3,2,143
Beijing,PM2.5,2011/1/3 3:00,2011,1,3,3,181
Beijing,PM2.5,2011/1/3 4:00,2011,1,3,4,188
Beijing,PM2.5,2011/1/3 5:00,2011,1,3,5,167
Beijing,PM2.5,2011/1/3 6:00,2011,1,3,6,173
Beijing,PM2.5,2011/1/3 7:00,2011,1,3,7,155
Beijing,PM2.5,2011/1/3 8:00,2011,1,3,8,124
Beijing,PM2.5,2011/1/3 9:00,2011,1,3,9,105
Beijing,PM2.5,2011/1/3 10:00,2011,1,3,10,87
Beijing,PM2.5,2011/1/3 11:00,2011,1,3,11,93
Beijing,PM2.5,2011/1/3 12:00,2011,1,3,12,134
Beijing,PM2.5,2011/1/3 13:00,2011,1,3,13,164
Beijing,PM2.5,2011/1/3 14:00,2011,1,3,14,180
Beijing,PM2.5,2011/1/3 15:00,2011,1,3,15,184
Beijing,PM2.5,2011/1/3 16:00,2011,1,3,16,175
Beijing,PM2.5,2011/1/3 17:00,2011,1,3,17,188
Beijing,PM2.5,2011/1/3 18:00,2011,1,3,18,255
Beijing,PM2.5,2011/1/3 19:00,2011,1,3,19,286
Beijing,PM2.5,2011/1/3 20:00,2011,1,3,20,225
