Date pm2.5
2010/01 90.167
2010/02 97.240
2010/03 94.047
2010/04 80.072
2010/05 87.072
2010/06 109.039
2010/07 123.42
2010/08 97.683
2010/09 122.793
2010/10 118.784
2010/11 138.384
2010/12 97.116
2011/01 44.874
2011/02 150.290
2011/03 57.992
2011/04 91.721
2011/05 65.108
2011/06 108.795
2011/07 107.386
2011/08 103.734
2011/09 94.969
2011/10 145.557
2011/11 109.435
2011/12 108.721
2012/01 118.922
2012/02 84.442
2012/03 96.474
2012/04 87.836
2012/05 90.967
2012/06 96.634
2012/07 80.650
2012/08 81.165
2012/09 59.784
2012/10 94.951
2012/11 87.437
2012/12 109.187
2013/01 193.392
2013/02 123.632
2013/03 123.383
2013/04 65.825
2013/05 85.217
2013/06 114.486
2013/07 65.822
2013/08 61.933
2013/09 90.912
2013/10 106.585
2013/11 90.703
2013/12 98.506
2014/01 118.773
2014/02 174.595
2014/03 110.474
2014/04 95.142
2014/05 72.240
2014/06 59.048
2014/07 89.642
2014/08 62.816
2014/09 70.259
2014/10 140.693
2014/11 104.191
2014/12 78.609
2015/01 107.915
2015/02 96.737
2015/03 87.275
2015/04 78.855
2015/05 60.128
2015/06 54.397
2015/07 55.083
2015/08 44.647
2015/09 46.849
2015/10 72.374
2015/11 124.822
2015/12 161.715
2016/01 72.147
2016/02 43.959
2016/03 93.125
2016/04 66.500
2016/05 55.246
2016/06 58.669
2016/07 59.161
2016/08 38.673
2016/09 51.596
2016/10 82.092
2016/11 104.739
2016/12 144.628
2017/01 123.823
2017/02 76.159
2017/03 63.674
2017/04 55.724
2017/05 60.469
2017/06 40.134


